,ID,O_LON,O_LAT,CLUSTER_LABEL
1932,1932,116.38056,39.85972,cluster13
1933,1933,116.382422,39.864357,cluster13
1941,1941,116.45217,39.98774,cluster21
1942,1942,116.343605,39.943977,cluster15
1948,1948,116.45628,40.01035,cluster26
1952,1952,116.438708,39.925648,cluster19
1955,1955,116.3602,39.98055,cluster1
1956,1956,116.322266,39.883066,cluster2
1958,1958,116.43433,39.96951,cluster4
1959,1959,116.37332,39.95543,cluster16
1964,1964,116.36632,39.94012,cluster35
1971,1971,116.460707,39.977553,cluster6
1972,1972,116.41097,39.96764,cluster10
1974,1974,116.37292,39.8647,cluster13
1978,1978,116.46683,39.98943,cluster21
1980,1980,116.4777,39.99235,cluster28
1983,1983,116.342484,39.87957,cluster9
1984,1984,116.34014,39.91147,cluster12
1989,1989,116.4108,39.98573,cluster3
1990,1990,116.35915,39.98044,cluster1
1992,1992,116.38843,39.94747,cluster16
1993,1993,116.44531,39.955343,cluster4
1997,1997,116.350166,39.913233,cluster12
1998,1998,116.42611,39.90409,cluster17
2001,2001,116.350082,39.980255,cluster1
2005,2005,116.4209,39.90375,cluster17
2011,2011,116.36358,39.97634,cluster1
2012,2012,116.385533,39.888562,cluster11
2016,2016,116.34427,39.94291,cluster15
2018,2018,116.316308,39.895065,cluster2
2020,2020,116.389272,39.952318,cluster16
2021,2021,116.331113,39.891617,cluster27
2023,2023,116.34421,39.8767,cluster9
2025,2025,116.426079,39.967964,cluster10
2029,2029,116.35004,39.94387,cluster15
2032,2032,116.42057,39.903873,cluster17
2033,2033,116.421702,39.903445,cluster17
2034,2034,116.34281,39.87602,cluster9
2036,2036,116.328354,39.980045,cluster18
2038,2038,116.352805,39.980293,cluster1
2039,2039,116.35974,39.98619,cluster1
2040,2040,116.42558,39.96803,cluster10
2041,2041,116.433938,39.979433,cluster3
2043,2043,116.34375,39.931149,cluster32
2045,2045,116.36678,39.93269,cluster31
2046,2046,116.38385,39.882016,cluster11
