ID,ID,O_LON,O_LAT,CLUSTER_LABEL
15242,15242,116.46024,39.99595,cluster0
2995,2995,116.345741,39.73605,cluster0
8741,8741,116.43541,40.03475,cluster0
2561,2561,116.31161,39.97501,cluster0
12185,12185,116.541045,39.914988,cluster0
764,764,116.332405,39.886776,cluster0
17235,17235,116.41165,39.90904,cluster0
12916,12916,116.47199,39.92227,cluster0
13811,13811,116.33572,40.03777,cluster0
11158,11158,116.382133,39.898883,cluster0
15766,15766,116.38629,39.88874,cluster0
17049,17049,116.302845,39.923243,cluster0
13175,13175,116.414963,39.997467,cluster0
13198,13198,116.375327,39.975287,cluster0
15898,15898,116.412201,39.914333,cluster0
9899,9899,116.27571,40.02054,cluster0
5804,5804,116.31529,39.96548,cluster0
16932,16932,116.30032,39.97371,cluster0
6377,6377,116.372566,39.860783,cluster0
4188,4188,116.347255,39.887557,cluster0
